label,tweet

1,I absolutely loved this movie.

1,The food was delicious and fresh.

1,Excellent customer service.

1,This phone is amazing.

1,I am very happy with the purchase.

1,Fantastic quality and fast delivery.

1,The experience was wonderful.

1,Highly recommend this product.

1,Very satisfied with the results.

1,The staff were friendly and helpful.

1,The laptop works perfectly.

1,Great value for money.

1,The hotel was clean and comfortable.

1,I enjoyed every moment.

1,This app is very useful.

0,I hated this movie.

0,The food was terrible.

0,Worst customer service ever.

0,This phone is awful.

0,I regret buying this product.

0,Very disappointed with the purchase.

0,The quality is poor.

0,The experience was horrible.

0,I will never buy this again.

0,The staff were rude.

0,The laptop stopped working.

0,Waste of money.

0,The hotel room was dirty.

0,This app keeps crashing.

0,Completely useless product.
